Return,Volatility,Sharpe,WeightsIndex
0.23710632122029873,0.42405734800173894,0.4883922474076536,0
0.23963831543776415,0.23239062903170837,0.902094530710015,1
0.19091430253123445,1.1027371468728904,0.14592262806014153,2
0.1975823237925781,0.6182479412937506,0.2710600595642809,3
0.24083063935308152,0.5537377903397613,0.3807409265380289,4
0.2521119315880861,0.542860629436566,0.4091509303568683,5
0.2302092236353199,0.46281075158347396,0.43259414987728423,6
0.2536707213176487,0.23554685498313851,0.9495805891089483,7
0.23124746420189277,0.4220567990359143,0.4768255473234727,8
0.19948999797119546,0.8284892225418936,0.2045771910601106,9
0.21528243748202042,0.4668546876960167,0.3968738932373395,10
0.2805786939921346,0.28308434383414083,0.8851732688507448,11
0.25930581383580226,0.23679556218673226,0.9683704023767822,12
0.25198515017653844,0.4955373131960735,0.4479685873598456,13
0.23930972977622172,0.3423484079867571,0.6113939042600086,14
0.2358178743959525,0.23792717439010477,0.8650456801478845,15
0.1843324883437914,0.8918724549245427,0.17304322775261488,16
0.20504769522343827,0.3492041885616198,0.5012760469582677,17
0.2076833374822441,0.33309333174685435,0.5334340875285988,18
0.20049977809704736,0.5058808725205858,0.3370354313803577,19
0.18709061377744404,0.8673627186601602,0.18111294202280953,20
0.22603129059595278,0.8674738398500211,0.22597948386529434,21
0.21695264584158608,0.2400359593277915,0.7788526617642517,22
0.2090145724878043,0.37247777760068523,0.4806047051744302,23
0.24921292044700166,0.5203442221574187,0.4212844327128583,24
0.225050407601831,0.9049057161536077,0.21554776825912017,25
0.2345765039868717,0.611275704259575,0.3346714135067265,26
0.2615359292500631,0.7450128380412424,0.31078112675052416,27
0.20027554845375184,0.21630607573705854,0.7871972521971072,28
0.22141788514050265,0.6633026025335464,0.2885830455200448,29
0.25102719955837693,0.3851268347014698,0.5739075536756759,30
0.1914501155465709,0.782237986821678,0.2063951358365516,31
0.20326522023184004,0.7080776541921417,0.24469804859118366,32
0.1802960376775822,0.7711465555231486,0.1948994475837616,33
0.2729357531325164,1.171644863281314,0.20734589528447164,34
0.2074547264741649,0.5549371072847331,0.31977448281020165,35
0.2457356137592588,0.32895442788744117,0.6558221913738075,36
0.22680601657071994,0.24336020915439477,0.8087025288750492,37
0.2137651041268636,0.6949080710163013,0.26444520043940145,38
0.20112462351781582,0.3420237402356007,0.500329665420119,39
0.19727495190031613,0.69081243095805,0.24214235934974657,40
0.24134040468719298,0.3846642009860722,0.5494153189858318,41
0.2223528660506565,0.7315073554000536,0.26295411061924423,42
0.261102215528383,0.6103852521180908,0.37861697137412453,43
0.2282913921549317,0.7246107531549164,0.27365229026975046,44
0.2348495963022874,0.571296201094174,0.3585698555494498,45
